protein	pe	ms_evidence
O00370	1	yes
Q96PT3	2	yes
Q96PT4	2	yes
Q9UN81	1	yes
A2RUG3	2	no
A6NDE4	2	yes
A6NEQ0	2	yes
A6NJY1	5	yes
A6NKD2	2	yes
O00507	1	yes
O14598	1	yes
O14599	1	no
O14602	1	yes
O14603	1	no
O14604	1	yes
O14607	1	yes
O14609	2	no
O15523	1	yes
O43930	5	yes
P08048	1	yes
P0C7P1	2	yes
P0CV98	3	yes
P0CV99	2	yes
P0CW00	3	yes
P0CW01	3	yes
P0DJD3	1	yes
P0DJD4	1	yes
P22090	1	yes
Q01534	1	yes
Q05066	1	yes
Q13117	1	yes
Q15415	1	yes
Q86SG3	1	yes
Q8IUE0	1	yes
Q8N888	5	no
Q8NFZ3	2	yes
Q8TD47	2	yes
Q96LI6	1	yes
Q99218	2	no
Q9BQ87	1	yes
Q9BY66	1	yes
Q9BZ97	5	no
Q9BZ98	5	no
Q9BZA0	5	no
Q9BZA5	5	yes
Q9BZA8	1	yes
Q9H606	2	no
Q9NQZ3	1	yes
Q9NR90	1	yes
Q9Y6F7	1	yes
Q9Y6F8	1	yes
A0A0J9YWL9	5	yes
A0A0J9YX94	1	yes
A0A0J9YXQ4	1	yes
A0A0J9YY54	1	yes
A0A0U1RR11	2	yes
A0A0U1RRE5	1	yes
A0A0U1RRI6	1	yes
A0A1B0GTK5	3	yes
A0A1B0GTR3	1	yes
A0A1B0GTS1	2	yes
A0A1B0GUQ0	2	yes
A0A1B0GV22	2	yes
A0A1B0GVM5	4	yes
A0A1B0GWG4	2	no
A0A1B0GWH4	2	yes
A1L429	1	yes
A2A368	4	yes
A2AJT9	1	yes
A6NCF6	5	no
A6NDE8	2	yes
A6NEN9	1	yes
A6NER3	1	yes
A6NFF2	5	no
A6NGE4	1	yes
A6NGH7	1	yes
A6NGK3	1	yes
A6NGU7	5	no
A6NGZ8	3	no
A6NHR8	5	no
A6NJ88	5	yes
A6NJG2	1	yes
A6NK44	1	yes
A6NKX1	3	no
A6NM28	1	yes
A6NMA1	1	yes
A6NNY8	1	yes
A6PVI3	3	yes
A6ZKI3	1	yes
A8MXT2	1	yes
A8MYA2	1	yes
B1AK76	5	no
B1ATL7	4	no
B4DZS4	2	no
H7C241	3	no
O00264	1	yes
O00398	1	yes
O00571	1	yes
O00625	1	yes
O14627	1	yes
O14654	1	yes
O14668	1	yes
O14829	1	yes
O14936	1	yes
O14990	1	yes
O15225	5	no
O15226	1	yes
O15231	1	yes
O15239	1	yes
O15247	1	yes
O15255	2	no
O15266	1	yes
O15294	1	yes
O15344	1	yes
O15347	1	yes
O15391	1	yes
O15479	1	yes
O15480	1	yes
O15481	1	yes
O15482	2	yes
O15488	1	yes
O15537	1	yes
O15541	1	yes
O15550	1	yes
O43182	1	yes
O43307	1	yes
O43320	1	yes
O43462	1	yes
O43463	1	yes
O43602	1	yes
O43610	1	yes
O43657	1	yes
O43719	1	yes
O43736	1	yes
O43824	1	yes
O43895	1	yes
O43900	1	yes
O43915	1	yes
O60220	1	yes
O60224	1	yes
O60225	1	yes
O60244	1	yes
O60481	1	yes
O60488	1	yes
O60687	1	yes
O60732	1	yes
O60826	1	yes
O60828	1	yes
O60829	1	yes
O60830	1	yes
O60831	1	yes
O60832	1	yes
O60840	1	yes
O60879	1	yes
O60880	1	yes
O60890	1	yes
O60907	1	yes
O75027	1	yes
O75368	1	yes
O75409	1	no
O75459	1	yes
O75487	1	yes
O75638	1	yes
O75665	1	yes
O75695	1	yes
O75787	1	yes
O75832	1	yes
O75914	1	yes
O75949	2	no
O75995	1	yes
O76039	1	yes
O76087	2	yes
O95239	1	yes
O95258	1	yes
O95600	1	yes
O95671	1	yes
O95751	1	yes
O95831	1	yes
O95972	1	yes
O96002	5	no
O96006	1	yes
P00451	1	yes
P00480	1	yes
P00492	1	yes
P00558	1	yes
P00740	1	yes
P01033	1	yes
P04000	1	yes
P04001	1	yes
P04839	1	yes
P05141	1	yes
P05543	1	yes
P06280	1	yes
P08034	1	yes
P08247	1	yes
P08559	1	yes
P08842	1	yes
P09131	1	yes
P09884	1	yes
P0C0E4	1	yes
P0C1H6	1	yes
P0C2W7	1	yes
P0C5K6	5	no
P0C5Y9	1	yes
P0C5Z0	1	yes
P0C7M4	1	yes
P0C7V6	5	yes
P0C7V8	1	yes
P0C7X4	5	yes
P0CG32	3	yes
P0CG34	1	yes
P0CG35	1	yes
P0CJ77	2	no
P0CL80	3	yes
P0CL81	3	yes
P0CL82	1	yes
P0CW24	1	yes
P0DI81	1	yes
P0DKB6	1	yes
P0DMU7	2	yes
P0DMU8	2	yes
P0DMU9	1	yes
P0DMV0	3	yes
P0DMV1	3	yes
P0DMV2	3	yes
P0DMW2	2	no
P0DMW4	2	yes
P0DMW5	2	yes
P0DN77	3	yes
P0DN78	3	yes
P0DP71	3	yes
P0DP75	5	no
P0DPH9	1	yes
P0DPI3	3	yes
P0DPP9	1	yes
P10275	1	yes
P10398	1	yes
P10911	1	yes
P11413	1	yes
P11441	1	yes
P11532	1	yes
P11908	1	yes
P12236	1	yes
P12525	5	yes
P13473	1	yes
P13797	1	yes
P14209	1	yes
P15509	1	yes
P15976	1	yes
P16118	1	yes
P17010	1	yes
P17025	1	yes
P17600	1	yes
P19419	1	yes
P19532	1	yes
P21333	1	yes
P21397	1	yes
P21673	1	yes
P21675	1	yes
P21810	1	yes
P22304	1	yes
P22314	1	yes
P22557	1	yes
P23352	1	yes
P23416	1	no
P23610	1	yes
P24311	1	yes
P24386	1	yes
P26038	1	yes
P26951	1	yes
P27338	1	yes
P27635	1	yes
P27918	1	yes
P28335	1	yes
P28370	1	yes
P29377	1	yes
P29400	1	yes
P29965	1	yes
P30518	1	yes
P30550	1	yes
P31150	1	yes
P31785	1	yes
P32004	1	yes
P32189	1	yes
P32247	1	yes
P32969	1	yes
P33240	1	yes
P33897	1	yes
P34903	1	yes
P35663	1	yes
P36021	1	yes
P36575	1	yes
P37287	1	yes
P38159	1	yes
P41091	1	yes
P41208	1	yes
P41225	1	yes
P41227	1	yes
P41229	1	yes
P41247	1	yes
P41732	1	yes
P42263	1	yes
P42768	1	yes
P43355	1	yes
P43356	1	yes
P43357	1	yes
P43358	1	yes
P43359	2	yes
P43360	1	yes
P43361	1	yes
P43362	1	yes
P43363	1	yes
P43364	1	yes
P43365	1	yes
P43366	1	yes
P46019	1	yes
P46020	1	yes
P46100	1	yes
P46597	1	yes
P46736	1	yes
P47813	1	yes
P48029	1	yes
P49184	1	yes
P49335	1	yes
P49448	1	yes
P49459	1	yes
P49682	1	yes
P50052	1	no
P50402	1	yes
P51151	1	yes
P51508	1	yes
P51553	1	yes
P51571	1	yes
P51572	1	yes
P51582	1	yes
P51606	1	yes
P51608	1	yes
P51610	1	yes
P51617	1	yes
P51654	1	yes
P51689	1	yes
P51690	1	yes
P51784	1	yes
P51786	1	yes
P51793	1	yes
P51795	1	yes
P51805	1	yes
P51808	1	yes
P51809	1	yes
P51810	1	yes
P51811	1	yes
P51812	1	yes
P51813	1	yes
P51814	1	yes
P51815	2	yes
P51816	1	yes
P51817	1	yes
P51841	1	yes
P51843	1	yes
P51854	1	yes
P51861	1	yes
P51864	5	yes
P52788	1	yes
P53701	1	yes
P54793	1	yes
P55795	1	yes
P55808	1	yes
P56277	1	yes
P56278	1	yes
P56377	1	yes
P57739	1	yes
P58550	5	no
P60201	1	yes
P60507	1	no
P60891	1	yes
P61758	1	yes
P62328	1	yes
P62701	1	yes
P62891	1	yes
P78318	1	yes
P78334	2	yes
P78358	1	yes
P78381	1	yes
P78539	1	yes
P78552	1	yes
P78562	1	yes
P82970	1	yes
P83881	1	yes
P98168	1	yes
P98169	1	yes
P98170	1	yes
P98171	1	yes
P98172	1	yes
P98173	1	yes
P98174	1	yes
P98175	1	yes
P98177	1	yes
P98179	1	yes
Q00013	1	yes
Q00536	1	yes
Q00604	1	yes
Q00994	1	yes
Q01113	1	yes
Q01968	1	yes
Q02040	1	yes
Q04656	1	yes
Q04941	1	yes
Q06187	1	yes
Q06787	1	yes
Q08623	1	yes
Q0D2K3	1	no
Q0IIM8	1	yes
Q12816	1	yes
